date,product,sales,inventory
2024-01-01,Item_A,28,119
2024-01-02,Item_A,36,253
2024-01-03,Item_A,19,106
2024-01-04,Item_A,22,276
2024-01-05,Item_A,18,261
2024-01-06,Item_A,44,150
2024-01-07,Item_A,48,214
2024-01-08,Item_A,37,174
2024-01-09,Item_A,17,101
2024-01-10,Item_A,33,222
2024-01-11,Item_A,46,192
2024-01-12,Item_A,32,287
2024-01-13,Item_A,29,132
2024-01-14,Item_A,46,196
2024-01-15,Item_A,18,113
2024-01-16,Item_A,22,212
2024-01-17,Item_A,11,131
2024-01-18,Item_A,46,240
2024-01-19,Item_A,38,136
2024-01-20,Item_A,28,263
2024-01-21,Item_A,12,194
2024-01-22,Item_A,15,234
2024-01-23,Item_A,32,276
2024-01-24,Item_A,20,196
2024-01-25,Item_A,43,206
2024-01-26,Item_A,19,128
2024-01-27,Item_A,43,180
2024-01-28,Item_A,25,272
2024-01-29,Item_A,29,232
2024-01-30,Item_A,46,240
2024-01-31,Item_A,27,283
2024-02-01,Item_A,16,190
2024-02-02,Item_A,44,265
2024-02-03,Item_A,22,171
2024-02-04,Item_A,28,159
2024-02-05,Item_A,12,185
2024-02-06,Item_A,43,188
2024-02-07,Item_A,30,230
2024-02-08,Item_A,36,123
2024-02-09,Item_A,26,240
2024-02-10,Item_A,24,102
2024-02-11,Item_A,20,225
2024-02-12,Item_A,32,180
2024-02-13,Item_A,11,231
2024-02-14,Item_A,37,268
2024-02-15,Item_A,35,172
2024-02-16,Item_A,15,236
2024-02-17,Item_A,12,293
2024-02-18,Item_A,33,156
2024-02-19,Item_A,11,132
2024-02-20,Item_A,16,137
2024-02-21,Item_A,15,146
2024-02-22,Item_A,47,112
2024-02-23,Item_A,19,176
2024-02-24,Item_A,34,261
2024-02-25,Item_A,36,103
2024-02-26,Item_A,39,295
2024-02-27,Item_A,41,188
2024-02-28,Item_A,41,205
2024-02-29,Item_A,49,117
